platform,writable_id,layer,controller,direction_tested,duration_domain,slope_domain,hazard_reached,target_hazard,first_hazard_time,pre_hazard_alarm_count,pre_hazard_alarm_ids,alarm_signature_stable,alarm_signature_count,first_alarm_time,best_replay_parameter,in_W_rank_top_k,in_W_hd,selected_for_region_search
tennessee_eastman,xmv_07_ctrl_output,controller_output,DecentralizedController(L7),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_08,actuator,DecentralizedController(L8),pos/neg,100..1000,0.25..1.0,yes,H-TEP-STRIPPER-LEVEL-LOW,461,1,A-TEP-STRIPPER-LEVEL-TRACK,yes,1,261,"{""amp"": 1.0, ""direction"": ""pos"", ""duration"": 600}",yes,yes,yes
tennessee_eastman,xmv_08_ctrl_output,controller_output,DecentralizedController(L8),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_09,actuator,DecentralizedController(L9),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_09_ctrl_output,controller_output,DecentralizedController(L9),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_10,actuator,DecentralizedController(L10),pos/neg,100..1000,0.25..1.0,yes,H-TEP-REACTOR-PRESSURE,199,1,A-TEP-REACTOR-LEVEL-TRACK,no,2,172,,yes,no,yes
tennessee_eastman,xmv_10_ctrl_output,controller_output,DecentralizedController(L10),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_11,actuator,DecentralizedController(L11),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_11_ctrl_output,controller_output,DecentralizedController(L11),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_12,actuator,DecentralizedController,pos/neg,100..1000,0.25..1.0,no,,,,,,,,,yes,no,no
tennessee_eastman,xmv_12_ctrl_output,controller_output,DecentralizedController,pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
